"TIME","GEO","ISCED11","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2005","Austria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","77.1",""
"2005","Poland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.7",""
"2005","Portugal","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.6",""
"2005","Romania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.2",""
"2005","Slovenia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","78.2",""
"2005","Slovakia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.3",""
"2005","Finland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.9",""
"2005","Sweden","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","94.3","bu"
"2005","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","35.5","u"
"2006","European Union (28 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage",":",""
"2006","European Union (27 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","77.1",""
"2006","Euro area (19 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.8",""
"2006","Euro area (18 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.7",""
"2006","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","74.4",""
"2006","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.4","b"
"2006","Czech Republic","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.9",""
"2006","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","91.5",""
"2006","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","93.2",""
"2006","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.6",""
"2006","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","72.9",""
"2006","Greece","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","70.8",""
"2006","Spain","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.2","u"
"2006","France","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","68.6",""
"2006","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","69.8",""
"2006","Italy","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.9",""
"2006","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.8",""
"2006","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.3",""
"2006","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.6",""
"2006","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","91.4",""
"2006","Hungary","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.5",""
"2006","Malta","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","45.0",""
"2006","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","78.6",""
"2006","Austria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","81.2","b"
"2006","Poland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.6",""
"2006","Portugal","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.5",""
"2006","Romania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.0",""
"2006","Slovenia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","78.5",""
"2006","Slovakia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.0",""
"2006","Finland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","88.2",""
"2006","Sweden","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.4","b"
"2006","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","34.1","u"
"2007","European Union (28 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","76.6",""
"2007","European Union (27 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","76.7",""
"2007","Euro area (19 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.5",""
"2007","Euro area (18 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.5",""
"2007","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.0",""
"2007","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.1",""
"2007","Czech Republic","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.3",""
"2007","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","92.6","b"
"2007","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","92.8",""
"2007","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.2",""
"2007","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.4","b"
"2007","Greece","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","72.4",""
"2007","Spain","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","75.0","u"
"2007","France","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","67.6",""
"2007","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","71.8",""
"2007","Italy","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.9",""
"2007","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.6",""
"2007","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.8",""
"2007","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.5",""
"2007","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","88.7","b"
"2007","Hungary","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.5",""
"2007","Malta","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","52.2",""
"2007","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","78.3",""
"2007","Austria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","82.0",""
"2007","Poland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.9",""
"2007","Portugal","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.9",""
"2007","Romania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.4",""
"2007","Slovenia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","79.2",""
"2007","Slovakia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.8",""
"2007","Finland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.0",""
"2007","Sweden","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","82.7",""
"2007","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","33.1","bu"
"2008","European Union (28 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","76.6",""
"2008","European Union (27 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","76.6",""
"2008","Euro area (19 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.3",""
"2008","Euro area (18 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.2",""
"2008","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.8","b"
"2008","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.2",""
"2008","Czech Republic","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","88.0",""
"2008","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","92.9",""
"2008","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","91.1",""
"2008","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.6",""
"2008","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.3",""
"2008","Greece","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","72.2",""
"2008","Spain","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","74.5","u"
"2008","France","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","68.3",""
"2008","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.1",""
"2008","Italy","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.5",""
"2008","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.8",""
"2008","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.7",""
"2008","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.8",""
"2008","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","88.3",""
"2008","Hungary","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.4",""
"2008","Malta","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","38.1",""
"2008","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","77.7",""
"2008","Austria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","81.8",""
"2008","Poland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.9",""
"2008","Portugal","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.5",""
"2008","Romania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.8",""
"2008","Slovenia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","75.8",""
"2008","Slovakia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.6",""
"2008","Finland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","88.9",""
"2008","Sweden","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.7",""
"2008","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","34.6","bu"
"2009","European Union (28 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","76.2",""
"2009","European Union (27 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","76.2",""
"2009","Euro area (19 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.4",""
"2009","Euro area (18 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.3",""
"2009","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","71.8",""
"2009","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.9",""
"2009","Czech Republic","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.8",""
"2009","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","92.8",""
"2009","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","91.1",""
"2009","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.0",""
"2009","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","72.3","b"
"2009","Greece","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","71.9","b"
"2009","Spain","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","75.2","u"
"2009","France","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","68.7",""
"2009","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","74.7",""
"2009","Italy","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.3",""
"2009","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","76.1","b"
"2009","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.4",""
"2009","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.5",""
"2009","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","89.7","b"
"2009","Hungary","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.5",""
"2009","Malta","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","33.1",""
"2009","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","77.3",""
"2009","Austria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","82.0",""
"2009","Poland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.4",""
"2009","Portugal","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","82.6",""
"2009","Romania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.0",""
"2009","Slovenia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","77.8",""
"2009","Slovakia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.3",""
"2009","Finland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.7",""
"2009","Sweden","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","83.7",""
"2009","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","33.1","u"
"2010","European Union (28 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","75.6",""
"2010","European Union (27 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","75.6",""
"2010","Euro area (19 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","79.9",""
"2010","Euro area (18 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","79.9",""
"2010","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.9",""
"2010","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","82.0","b"
"2010","Czech Republic","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.0",""
"2010","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","92.0",""
"2010","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","90.9","b"
"2010","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.9",""
"2010","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","75.9",""
"2010","Greece","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","74.0",""
"2010","Spain","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","72.6","u"
"2010","France","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","68.7",""
"2010","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.7","b"
"2010","Italy","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.4",""
"2010","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","72.6",""
"2010","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.7",""
"2010","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.5",""
"2010","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","94.0",""
"2010","Hungary","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.7",""
"2010","Malta","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","34.2",""
"2010","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","77.4","b"
"2010","Austria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","82.1",""
"2010","Poland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.5","b"
"2010","Portugal","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","81.2",""
"2010","Romania","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.8","b"
"2010","Slovenia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","80.3",""
"2010","Slovakia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","86.6",""
"2010","Finland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","87.0",""
"2010","Sweden","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.8",""
"2010","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","30.9","bu"
"2011","European Union (28 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.9",""
"2011","European Union (27 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.9",""
"2011","Euro area (19 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","78.0","u"
"2011","Euro area (18 countries)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","77.9","u"
"2011","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","71.9",""
"2011","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","81.9",""
"2011","Czech Republic","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","88.5","b"
"2011","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","91.8",""
"2011","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","85.7","u"
"2011","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","84.1",""
"2011","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","74.6",""
"2011","Greece","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","73.8",""
"2011","Spain","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","71.7","u"
"2011","France","Less than primary, primary and lower secondary education (levels 0-2)","Females","From 15 to 19 years","Percentage","69.7",""
