"TIME","GEO","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2008","France","Percentage","Total","From 25 to 29 years","6.3",""
"2008","France","Percentage","Total","From 15 to 29 years","19.0",""
"2008","France (metropolitan)","Percentage","Total","From 15 to 19 years","6.4",""
"2008","France (metropolitan)","Percentage","Total","From 20 to 24 years","6.3",""
"2008","France (metropolitan)","Percentage","Total","From 25 to 29 years","6.3",""
"2008","France (metropolitan)","Percentage","Total","From 15 to 29 years","18.9",""
"2008","Croatia","Percentage","Total","From 15 to 19 years","5.9",""
"2008","Croatia","Percentage","Total","From 20 to 24 years","6.5",""
"2008","Croatia","Percentage","Total","From 25 to 29 years","6.9",""
"2008","Croatia","Percentage","Total","From 15 to 29 years","19.2",""
"2008","Italy","Percentage","Total","From 15 to 19 years","5.0",""
"2008","Italy","Percentage","Total","From 20 to 24 years","5.1",""
"2008","Italy","Percentage","Total","From 25 to 29 years","6.0",""
"2008","Italy","Percentage","Total","From 15 to 29 years","16.1",""
"2008","Cyprus","Percentage","Total","From 15 to 19 years","7.9",""
"2008","Cyprus","Percentage","Total","From 20 to 24 years","8.3",""
"2008","Cyprus","Percentage","Total","From 25 to 29 years","8.0",""
"2008","Cyprus","Percentage","Total","From 15 to 29 years","24.2",""
"2008","Latvia","Percentage","Total","From 15 to 19 years","7.4",""
"2008","Latvia","Percentage","Total","From 20 to 24 years","8.0",""
"2008","Latvia","Percentage","Total","From 25 to 29 years","6.9",""
"2008","Latvia","Percentage","Total","From 15 to 29 years","22.3",""
"2008","Lithuania","Percentage","Total","From 15 to 19 years","7.5",""
"2008","Lithuania","Percentage","Total","From 20 to 24 years","7.4",""
"2008","Lithuania","Percentage","Total","From 25 to 29 years","6.4",""
"2008","Lithuania","Percentage","Total","From 15 to 29 years","21.3",""
"2008","Luxembourg","Percentage","Total","From 15 to 19 years","5.9",""
"2008","Luxembourg","Percentage","Total","From 20 to 24 years","5.9",""
"2008","Luxembourg","Percentage","Total","From 25 to 29 years","6.8",""
"2008","Luxembourg","Percentage","Total","From 15 to 29 years","18.6",""
"2008","Hungary","Percentage","Total","From 15 to 19 years","6.2",""
"2008","Hungary","Percentage","Total","From 20 to 24 years","6.5",""
"2008","Hungary","Percentage","Total","From 25 to 29 years","7.5",""
"2008","Hungary","Percentage","Total","From 15 to 29 years","20.2",""
"2008","Malta","Percentage","Total","From 15 to 19 years","7.0",""
"2008","Malta","Percentage","Total","From 20 to 24 years","7.0",""
"2008","Malta","Percentage","Total","From 25 to 29 years","7.4",""
"2008","Malta","Percentage","Total","From 15 to 29 years","21.3",""
"2008","Netherlands","Percentage","Total","From 15 to 19 years","6.1",""
"2008","Netherlands","Percentage","Total","From 20 to 24 years","6.0",""
"2008","Netherlands","Percentage","Total","From 25 to 29 years","6.0",""
"2008","Netherlands","Percentage","Total","From 15 to 29 years","18.1",""
"2008","Austria","Percentage","Total","From 15 to 19 years","6.0",""
"2008","Austria","Percentage","Total","From 20 to 24 years","6.2",""
"2008","Austria","Percentage","Total","From 25 to 29 years","6.5",""
"2008","Austria","Percentage","Total","From 15 to 29 years","18.8",""
"2008","Poland","Percentage","Total","From 15 to 19 years","7.1",""
"2008","Poland","Percentage","Total","From 20 to 24 years","8.4",""
"2008","Poland","Percentage","Total","From 25 to 29 years","8.3",""
"2008","Poland","Percentage","Total","From 15 to 29 years","23.8",""
"2008","Portugal","Percentage","Total","From 15 to 19 years","5.5",""
"2008","Portugal","Percentage","Total","From 20 to 24 years","6.0",""
"2008","Portugal","Percentage","Total","From 25 to 29 years","7.0",""
"2008","Portugal","Percentage","Total","From 15 to 29 years","18.5",""
"2008","Romania","Percentage","Total","From 15 to 19 years","6.3",""
"2008","Romania","Percentage","Total","From 20 to 24 years","7.2",""
"2008","Romania","Percentage","Total","From 25 to 29 years","7.0",""
"2008","Romania","Percentage","Total","From 15 to 29 years","20.5",""
"2008","Slovenia","Percentage","Total","From 15 to 19 years","5.7",""
"2008","Slovenia","Percentage","Total","From 20 to 24 years","6.6",""
"2008","Slovenia","Percentage","Total","From 25 to 29 years","7.5",""
"2008","Slovenia","Percentage","Total","From 15 to 29 years","19.8",""
"2008","Slovakia","Percentage","Total","From 15 to 19 years","7.2",""
"2008","Slovakia","Percentage","Total","From 20 to 24 years","8.0",""
"2008","Slovakia","Percentage","Total","From 25 to 29 years","8.5",""
"2008","Slovakia","Percentage","Total","From 15 to 29 years","23.7",""
"2008","Finland","Percentage","Total","From 15 to 19 years","6.3",""
"2008","Finland","Percentage","Total","From 20 to 24 years","6.2",""
"2008","Finland","Percentage","Total","From 25 to 29 years","6.3",""
"2008","Finland","Percentage","Total","From 15 to 29 years","18.8",""
"2008","Sweden","Percentage","Total","From 15 to 19 years","6.9",""
"2008","Sweden","Percentage","Total","From 20 to 24 years","6.1",""
"2008","Sweden","Percentage","Total","From 25 to 29 years","6.0",""
"2008","Sweden","Percentage","Total","From 15 to 29 years","19.0",""
"2008","United Kingdom","Percentage","Total","From 15 to 19 years","6.5",""
"2008","United Kingdom","Percentage","Total","From 20 to 24 years","6.7",""
"2008","United Kingdom","Percentage","Total","From 25 to 29 years","6.7",""
"2008","United Kingdom","Percentage","Total","From 15 to 29 years","19.9",""
"2008","Iceland","Percentage","Total","From 15 to 19 years","7.5",""
"2008","Iceland","Percentage","Total","From 20 to 24 years","7.2",""
"2008","Iceland","Percentage","Total","From 25 to 29 years","7.8",""
"2008","Iceland","Percentage","Total","From 15 to 29 years","22.5",""
"2008","Liechtenstein","Percentage","Total","From 15 to 19 years","6.1",""
"2008","Liechtenstein","Percentage","Total","From 20 to 24 years","6.1",""
"2008","Liechtenstein","Percentage","Total","From 25 to 29 years","6.4",""
"2008","Liechtenstein","Percentage","Total","From 15 to 29 years","18.6",""
"2008","Norway","Percentage","Total","From 15 to 19 years","6.7",""
"2008","Norway","Percentage","Total","From 20 to 24 years","6.0",""
"2008","Norway","Percentage","Total","From 25 to 29 years","6.3",""
"2008","Norway","Percentage","Total","From 15 to 29 years","18.9",""
"2008","Switzerland","Percentage","Total","From 15 to 19 years","6.0",""
"2008","Switzerland","Percentage","Total","From 20 to 24 years","5.9",""
"2008","Switzerland","Percentage","Total","From 25 to 29 years","6.4",""
"2008","Switzerland","Percentage","Total","From 15 to 29 years","18.3",""
"2008","Montenegro","Percentage","Total","From 15 to 19 years","7.5",""
"2008","Montenegro","Percentage","Total","From 20 to 24 years","7.1",""
"2008","Montenegro","Percentage","Total","From 25 to 29 years","7.3",""
"2008","Montenegro","Percentage","Total","From 15 to 29 years","21.9",""
"2008","Former Yugoslav Republic of Macedonia, the","Percentage","Total","From 15 to 19 years","7.8",""
"2008","Former Yugoslav Republic of Macedonia, the","Percentage","Total","From 20 to 24 years","8.1",""
"2008","Former Yugoslav Republic of Macedonia, the","Percentage","Total","From 25 to 29 years","7.9",""
"2008","Former Yugoslav Republic of Macedonia, the","Percentage","Total","From 15 to 29 years","23.8",""
"2008","Albania","Percentage","Total","From 15 to 19 years",":",""
"2008","Albania","Percentage","Total","From 20 to 24 years",":",""
"2008","Albania","Percentage","Total","From 25 to 29 years",":",""
"2008","Albania","Percentage","Total","From 15 to 29 years",":",""
"2008","Serbia","Percentage","Total","From 15 to 19 years","6.0",""
"2008","Serbia","Percentage","Total","From 20 to 24 years","6.8",""
"2008","Serbia","Percentage","Total","From 25 to 29 years","7.0",""
"2008","Serbia","Percentage","Total","From 15 to 29 years","19.7",""
"2008","Turkey","Percentage","Total","From 15 to 19 years","8.7",""
"2008","Turkey","Percentage","Total","From 20 to 24 years","8.8",""
"2008","Turkey","Percentage","Total","From 25 to 29 years","9.2",""
"2008","Turkey","Percentage","Total","From 15 to 29 years","26.8",""
"2008","Andorra","Percentage","Total","From 15 to 19 years","4.7",""
"2008","Andorra","Percentage","Total","From 20 to 24 years","5.8",""
"2008","Andorra","Percentage","Total","From 25 to 29 years","8.5",""
"2008","Andorra","Percentage","Total","From 15 to 29 years","18.9",""
"2008","Belarus","Percentage","Total","From 15 to 19 years","7.4",""
"2008","Belarus","Percentage","Total","From 20 to 24 years","8.7",""
"2008","Belarus","Percentage","Total","From 25 to 29 years","7.8",""
"2008","Belarus","Percentage","Total","From 15 to 29 years","23.8",""
"2008","Moldova","Percentage","Total","From 15 to 19 years","9.2",""
"2008","Moldova","Percentage","Total","From 20 to 24 years","9.9",""
"2008","Moldova","Percentage","Total","From 25 to 29 years","8.3",""
"2008","Moldova","Percentage","Total","From 15 to 29 years","27.3",""
"2008","Russia","Percentage","Total","From 15 to 19 years","7.2",""
"2008","Russia","Percentage","Total","From 20 to 24 years","9.0",""
"2008","Russia","Percentage","Total","From 25 to 29 years","8.1",""
"2008","Russia","Percentage","Total","From 15 to 29 years","24.3",""
"2008","San Marino","Percentage","Total","From 15 to 19 years",":",""
"2008","San Marino","Percentage","Total","From 20 to 24 years",":",""
"2008","San Marino","Percentage","Total","From 25 to 29 years",":",""
"2008","San Marino","Percentage","Total","From 15 to 29 years",":",""
"2008","Ukraine","Percentage","Total","From 15 to 19 years","7.0",""
"2008","Ukraine","Percentage","Total","From 20 to 24 years","8.4",""
"2008","Ukraine","Percentage","Total","From 25 to 29 years","7.6",""
"2008","Ukraine","Percentage","Total","From 15 to 29 years","23.0",""
"2008","Armenia","Percentage","Total","From 15 to 19 years","9.8",""
"2008","Armenia","Percentage","Total","From 20 to 24 years","9.8",""
"2008","Armenia","Percentage","Total","From 25 to 29 years","8.5",""
"2008","Armenia","Percentage","Total","From 15 to 29 years","28.0",""
"2008","Azerbaijan","Percentage","Total","From 15 to 19 years","10.7",""
"2008","Azerbaijan","Percentage","Total","From 20 to 24 years","10.1",""
"2008","Azerbaijan","Percentage","Total","From 25 to 29 years","8.4",""
"2008","Azerbaijan","Percentage","Total","From 15 to 29 years","29.2",""
"2008","Georgia","Percentage","Total","From 15 to 19 years","8.4",""
"2008","Georgia","Percentage","Total","From 20 to 24 years","8.2",""
"2008","Georgia","Percentage","Total","From 25 to 29 years","7.6",""
"2008","Georgia","Percentage","Total","From 15 to 29 years","24.1",""
"2009","European Union (28 countries)","Percentage","Total","From 15 to 19 years","5.9",""
"2009","European Union (28 countries)","Percentage","Total","From 20 to 24 years","6.3",""
"2009","European Union (28 countries)","Percentage","Total","From 25 to 29 years","6.7",""
"2009","European Union (28 countries)","Percentage","Total","From 15 to 29 years","18.9",""
"2009","European Union (27 countries)","Percentage","Total","From 15 to 19 years","5.9",""
"2009","European Union (27 countries)","Percentage","Total","From 20 to 24 years","6.3",""
"2009","European Union (27 countries)","Percentage","Total","From 25 to 29 years","6.7",""
"2009","European Union (27 countries)","Percentage","Total","From 15 to 29 years","18.9",""
"2009","Euro area (19 countries)","Percentage","Total","From 15 to 19 years","5.6",""
"2009","Euro area (19 countries)","Percentage","Total","From 20 to 24 years","6.0",""
"2009","Euro area (19 countries)","Percentage","Total","From 25 to 29 years","6.5",""
"2009","Euro area (19 countries)","Percentage","Total","From 15 to 29 years","18.1",""
"2009","Euro area (18 countries)","Percentage","Total","From 15 to 19 years","5.6",""
"2009","Euro area (18 countries)","Percentage","Total","From 20 to 24 years","6.0",""
"2009","Euro area (18 countries)","Percentage","Total","From 25 to 29 years","6.5",""
"2009","Euro area (18 countries)","Percentage","Total","From 15 to 29 years","18.1",""
"2009","Belgium","Percentage","Total","From 15 to 19 years","6.1",""
"2009","Belgium","Percentage","Total","From 20 to 24 years","6.1",""
"2009","Belgium","Percentage","Total","From 25 to 29 years","6.4",""
"2009","Belgium","Percentage","Total","From 15 to 29 years","18.6",""
"2009","Bulgaria","Percentage","Total","From 15 to 19 years","5.9",""
"2009","Bulgaria","Percentage","Total","From 20 to 24 years","6.7",""
"2009","Bulgaria","Percentage","Total","From 25 to 29 years","6.8",""
"2009","Bulgaria","Percentage","Total","From 15 to 29 years","19.4",""
"2009","Czech Republic","Percentage","Total","From 15 to 19 years","6.1",""
"2009","Czech Republic","Percentage","Total","From 20 to 24 years","6.6",""
"2009","Czech Republic","Percentage","Total","From 25 to 29 years","7.4",""
"2009","Czech Republic","Percentage","Total","From 15 to 29 years","20.1",""
"2009","Denmark","Percentage","Total","From 15 to 19 years","6.2",""
"2009","Denmark","Percentage","Total","From 20 to 24 years","5.7",""
"2009","Denmark","Percentage","Total","From 25 to 29 years","5.7",""
"2009","Denmark","Percentage","Total","From 15 to 29 years","17.7",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Total","From 15 to 19 years","5.5",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Total","From 20 to 24 years","6.0",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Total","From 25 to 29 years","6.1",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Total","From 15 to 29 years","17.5",""
"2009","Estonia","Percentage","Total","From 15 to 19 years","6.5",""
"2009","Estonia","Percentage","Total","From 20 to 24 years","7.5",""
"2009","Estonia","Percentage","Total","From 25 to 29 years","7.1",""
"2009","Estonia","Percentage","Total","From 15 to 29 years","21.1",""
"2009","Ireland","Percentage","Total","From 15 to 19 years","6.5",""
"2009","Ireland","Percentage","Total","From 20 to 24 years","7.9",""
"2009","Ireland","Percentage","Total","From 25 to 29 years","8.9",""
"2009","Ireland","Percentage","Total","From 15 to 29 years","23.4",""
"2009","Greece","Percentage","Total","From 15 to 19 years","5.4",""
"2009","Greece","Percentage","Total","From 20 to 24 years","6.1",""
"2009","Greece","Percentage","Total","From 25 to 29 years","7.5",""
"2009","Greece","Percentage","Total","From 15 to 29 years","18.9",""
"2009","Spain","Percentage","Total","From 15 to 19 years","5.0",""
"2009","Spain","Percentage","Total","From 20 to 24 years","5.9",""
"2009","Spain","Percentage","Total","From 25 to 29 years","7.7",""
"2009","Spain","Percentage","Total","From 15 to 29 years","18.6",""
"2009","France","Percentage","Total","From 15 to 19 years","6.3",""
"2009","France","Percentage","Total","From 20 to 24 years","6.3",""
"2009","France","Percentage","Total","From 25 to 29 years","6.2",""
"2009","France","Percentage","Total","From 15 to 29 years","18.8",""
"2009","France (metropolitan)","Percentage","Total","From 15 to 19 years","6.3",""
"2009","France (metropolitan)","Percentage","Total","From 20 to 24 years","6.3",""
"2009","France (metropolitan)","Percentage","Total","From 25 to 29 years","6.3",""
"2009","France (metropolitan)","Percentage","Total","From 15 to 29 years","18.8",""
"2009","Croatia","Percentage","Total","From 15 to 19 years","5.8",""
"2009","Croatia","Percentage","Total","From 20 to 24 years","6.4",""
"2009","Croatia","Percentage","Total","From 25 to 29 years","6.9",""
"2009","Croatia","Percentage","Total","From 15 to 29 years","19.0",""
"2009","Italy","Percentage","Total","From 15 to 19 years","5.0",""
"2009","Italy","Percentage","Total","From 20 to 24 years","5.1",""
"2009","Italy","Percentage","Total","From 25 to 29 years","5.8",""
"2009","Italy","Percentage","Total","From 15 to 29 years","15.9",""
"2009","Cyprus","Percentage","Total","From 15 to 19 years","7.9",""
"2009","Cyprus","Percentage","Total","From 20 to 24 years","8.3",""
"2009","Cyprus","Percentage","Total","From 25 to 29 years","8.2",""
"2009","Cyprus","Percentage","Total","From 15 to 29 years","24.4",""
"2009","Latvia","Percentage","Total","From 15 to 19 years","6.9",""
"2009","Latvia","Percentage","Total","From 20 to 24 years","7.9",""
"2009","Latvia","Percentage","Total","From 25 to 29 years","7.0",""
"2009","Latvia","Percentage","Total","From 15 to 29 years","21.9",""
"2009","Lithuania","Percentage","Total","From 15 to 19 years","7.5",""
"2009","Lithuania","Percentage","Total","From 20 to 24 years","7.4",""
"2009","Lithuania","Percentage","Total","From 25 to 29 years","6.5",""
"2009","Lithuania","Percentage","Total","From 15 to 29 years","21.4",""
"2009","Luxembourg","Percentage","Total","From 15 to 19 years","5.9",""
"2009","Luxembourg","Percentage","Total","From 20 to 24 years","5.9",""
"2009","Luxembourg","Percentage","Total","From 25 to 29 years","6.9",""
"2009","Luxembourg","Percentage","Total","From 15 to 29 years","18.7",""
"2009","Hungary","Percentage","Total","From 15 to 19 years","6.1",""
"2009","Hungary","Percentage","Total","From 20 to 24 years","6.5",""
"2009","Hungary","Percentage","Total","From 25 to 29 years","7.2",""
"2009","Hungary","Percentage","Total","From 15 to 29 years","19.8",""
"2009","Malta","Percentage","Total","From 15 to 19 years","6.9",""
"2009","Malta","Percentage","Total","From 20 to 24 years","7.0",""
"2009","Malta","Percentage","Total","From 25 to 29 years","7.4",""
"2009","Malta","Percentage","Total","From 15 to 29 years","21.3",""
"2009","Netherlands","Percentage","Total","From 15 to 19 years","6.1",""
"2009","Netherlands","Percentage","Total","From 20 to 24 years","6.0",""
"2009","Netherlands","Percentage","Total","From 25 to 29 years","6.0",""
"2009","Netherlands","Percentage","Total","From 15 to 29 years","18.2",""
"2009","Austria","Percentage","Total","From 15 to 19 years","6.0",""
"2009","Austria","Percentage","Total","From 20 to 24 years","6.2",""
"2009","Austria","Percentage","Total","From 25 to 29 years","6.6",""
"2009","Austria","Percentage","Total","From 15 to 29 years","18.9",""
"2009","Poland","Percentage","Total","From 15 to 19 years","6.9",""
"2009","Poland","Percentage","Total","From 20 to 24 years","8.1",""
"2009","Poland","Percentage","Total","From 25 to 29 years","8.5",""
"2009","Poland","Percentage","Total","From 15 to 29 years","23.4",""
"2009","Portugal","Percentage","Total","From 15 to 19 years","5.5",""
"2009","Portugal","Percentage","Total","From 20 to 24 years","5.8",""
"2009","Portugal","Percentage","Total","From 25 to 29 years","6.8",""
"2009","Portugal","Percentage","Total","From 15 to 29 years","18.0",""
"2009","Romania","Percentage","Total","From 15 to 19 years","5.6",""
"2009","Romania","Percentage","Total","From 20 to 24 years","6.8",""
"2009","Romania","Percentage","Total","From 25 to 29 years","6.5",""
"2009","Romania","Percentage","Total","From 15 to 29 years","19.0",""
"2009","Slovenia","Percentage","Total","From 15 to 19 years","5.4",""
"2009","Slovenia","Percentage","Total","From 20 to 24 years","6.6",""
"2009","Slovenia","Percentage","Total","From 25 to 29 years","7.5",""
"2009","Slovenia","Percentage","Total","From 15 to 29 years","19.4",""
"2009","Slovakia","Percentage","Total","From 15 to 19 years","7.0",""
"2009","Slovakia","Percentage","Total","From 20 to 24 years","7.9",""
"2009","Slovakia","Percentage","Total","From 25 to 29 years","8.4",""
"2009","Slovakia","Percentage","Total","From 15 to 29 years","23.3",""
"2009","Finland","Percentage","Total","From 15 to 19 years","6.3",""
"2009","Finland","Percentage","Total","From 20 to 24 years","6.1",""
"2009","Finland","Percentage","Total","From 25 to 29 years","6.4",""
"2009","Finland","Percentage","Total","From 15 to 29 years","18.8",""
"2009","Sweden","Percentage","Total","From 15 to 19 years","6.9",""
"2009","Sweden","Percentage","Total","From 20 to 24 years","6.3",""
"2009","Sweden","Percentage","Total","From 25 to 29 years","6.1",""
"2009","Sweden","Percentage","Total","From 15 to 29 years","19.3",""
"2009","United Kingdom","Percentage","Total","From 15 to 19 years","6.5",""
"2009","United Kingdom","Percentage","Total","From 20 to 24 years","6.7",""
"2009","United Kingdom","Percentage","Total","From 25 to 29 years","6.8",""
"2009","United Kingdom","Percentage","Total","From 15 to 29 years","20.0",""
"2009","Iceland","Percentage","Total","From 15 to 19 years","7.5",""
"2009","Iceland","Percentage","Total","From 20 to 24 years","7.3",""
"2009","Iceland","Percentage","Total","From 25 to 29 years","7.9",""
"2009","Iceland","Percentage","Total","From 15 to 29 years","22.7",""
"2009","Liechtenstein","Percentage","Total","From 15 to 19 years","6.0",""
"2009","Liechtenstein","Percentage","Total","From 20 to 24 years","6.2",""
"2009","Liechtenstein","Percentage","Total","From 25 to 29 years","6.3",""
"2009","Liechtenstein","Percentage","Total","From 15 to 29 years","18.5",""
"2009","Norway","Percentage","Total","From 15 to 19 years","6.7",""
"2009","Norway","Percentage","Total","From 20 to 24 years","6.1",""
"2009","Norway","Percentage","Total","From 25 to 29 years","6.3",""
"2009","Norway","Percentage","Total","From 15 to 29 years","19.1",""
"2009","Switzerland","Percentage","Total","From 15 to 19 years","5.9",""
"2009","Switzerland","Percentage","Total","From 20 to 24 years","6.0",""
"2009","Switzerland","Percentage","Total","From 25 to 29 years","6.5",""
"2009","Switzerland","Percentage","Total","From 15 to 29 years","18.4",""
"2009","Montenegro","Percentage","Total","From 15 to 19 years","7.3",""
"2009","Montenegro","Percentage","Total","From 20 to 24 years","7.1",""
"2009","Montenegro","Percentage","Total","From 25 to 29 years","7.3",""
"2009","Montenegro","Percentage","Total","From 15 to 29 years","21.7",""
"2009","Former Yugoslav Republic of Macedonia, the","Percentage","Total","From 15 to 19 years","7.6",""
"2009","Former Yugoslav Republic of Macedonia, the","Percentage","Total","From 20 to 24 years","8.1",""
"2009","Former Yugoslav Republic of Macedonia, the","Percentage","Total","From 25 to 29 years","8.0",""
"2009","Former Yugoslav Republic of Macedonia, the","Percentage","Total","From 15 to 29 years","23.6",""
"2009","Albania","Percentage","Total","From 15 to 19 years",":",""
"2009","Albania","Percentage","Total","From 20 to 24 years",":",""
"2009","Albania","Percentage","Total","From 25 to 29 years",":",""
"2009","Albania","Percentage","Total","From 15 to 29 years",":",""
"2009","Serbia","Percentage","Total","From 15 to 19 years","5.9",""
"2009","Serbia","Percentage","Total","From 20 to 24 years","6.7",""
"2009","Serbia","Percentage","Total","From 25 to 29 years","7.0",""
"2009","Serbia","Percentage","Total","From 15 to 29 years","19.5",""
"2009","Turkey","Percentage","Total","From 15 to 19 years","8.6",""
"2009","Turkey","Percentage","Total","From 20 to 24 years","8.7",""
"2009","Turkey","Percentage","Total","From 25 to 29 years","9.1",""
"2009","Turkey","Percentage","Total","From 15 to 29 years","26.5",""
"2009","Andorra","Percentage","Total","From 15 to 19 years","4.7",""
"2009","Andorra","Percentage","Total","From 20 to 24 years","5.5",""
"2009","Andorra","Percentage","Total","From 25 to 29 years","8.1",""
"2009","Andorra","Percentage","Total","From 15 to 29 years","18.3",""
"2009","Belarus","Percentage","Total","From 15 to 19 years","6.9",""
"2009","Belarus","Percentage","Total","From 20 to 24 years","8.6",""
"2009","Belarus","Percentage","Total","From 25 to 29 years","8.1",""
"2009","Belarus","Percentage","Total","From 15 to 29 years","23.5",""
"2009","Moldova","Percentage","Total","From 15 to 19 years","8.7",""
"2009","Moldova","Percentage","Total","From 20 to 24 years","10.1",""
"2009","Moldova","Percentage","Total","From 25 to 29 years","8.6",""
"2009","Moldova","Percentage","Total","From 15 to 29 years","27.4",""
"2009","Russia","Percentage","Total","From 15 to 19 years","6.5",""
"2009","Russia","Percentage","Total","From 20 to 24 years","8.9",""
"2009","Russia","Percentage","Total","From 25 to 29 years","8.4",""
"2009","Russia","Percentage","Total","From 15 to 29 years","23.8",""
"2009","San Marino","Percentage","Total","From 15 to 19 years",":",""
"2009","San Marino","Percentage","Total","From 20 to 24 years",":",""
"2009","San Marino","Percentage","Total","From 25 to 29 years",":",""
"2009","San Marino","Percentage","Total","From 15 to 29 years",":",""
"2009","Ukraine","Percentage","Total","From 15 to 19 years","6.6",""
"2009","Ukraine","Percentage","Total","From 20 to 24 years","8.3",""
"2009","Ukraine","Percentage","Total","From 25 to 29 years","7.9",""
"2009","Ukraine","Percentage","Total","From 15 to 29 years","22.7",""
"2009","Armenia","Percentage","Total","From 15 to 19 years","9.4",""
"2009","Armenia","Percentage","Total","From 20 to 24 years","9.8",""
"2009","Armenia","Percentage","Total","From 25 to 29 years","8.7",""
"2009","Armenia","Percentage","Total","From 15 to 29 years","28.0",""
"2009","Azerbaijan","Percentage","Total","From 15 to 19 years","10.5",""
"2009","Azerbaijan","Percentage","Total","From 20 to 24 years","10.2",""
"2009","Azerbaijan","Percentage","Total","From 25 to 29 years","8.6",""
"2009","Azerbaijan","Percentage","Total","From 15 to 29 years","29.3",""
"2009","Georgia","Percentage","Total","From 15 to 19 years","8.1",""
"2009","Georgia","Percentage","Total","From 20 to 24 years","8.2",""
"2009","Georgia","Percentage","Total","From 25 to 29 years","7.6",""
