"TIME","GEO","UNIT","NA_ITEM","Value"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,300"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","103.3"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","99.6"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","95.7"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","95.0"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","96.7"
"2007","Euro area (19 countries)","Current prices, euro per capita","Gross domestic product at market prices","28,400"
"2007","Euro area (19 countries)","Current prices, euro per capita","Final consumption expenditure","21,200"
"2007","Euro area (19 countries)","Current prices, euro per capita","Final consumption expenditure of general government","5,500"
"2007","Euro area (19 countries)","Current prices, euro per capita","Individual consumption expenditure of general government","3,400"
"2007","Euro area (19 countries)","Current prices, euro per capita","Collective consumption expenditure of general government","2,100"
"2007","Euro area (19 countries)","Current prices, units of national currency per capita","Gross domestic product at market prices","28,400"
"2007","Euro area (19 countries)","Current prices, units of national currency per capita","Final consumption expenditure","21,200"
"2007","Euro area (19 countries)","Current prices, units of national currency per capita","Final consumption expenditure of general government","5,500"
"2007","Euro area (19 countries)","Current prices, units of national currency per capita","Individual consumption expenditure of general government","3,400"
"2007","Euro area (19 countries)","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,100"
"2007","Euro area (19 countries)","Current prices, PPS per capita","Gross domestic product at market prices","28,500"
"2007","Euro area (19 countries)","Current prices, PPS per capita","Final consumption expenditure","21,300"
"2007","Euro area (19 countries)","Current prices, PPS per capita","Final consumption expenditure of general government","5,500"
"2007","Euro area (19 countries)","Current prices, PPS per capita","Individual consumption expenditure of general government","3,400"
"2007","Euro area (19 countries)","Current prices, PPS per capita","Collective consumption expenditure of general government","2,100"
"2007","Euro area (19 countries)","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,400"
"2007","Euro area (19 countries)","Chain linked volumes (2010), euro per capita","Final consumption expenditure","22,100"
"2007","Euro area (19 countries)","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","5,800"
"2007","Euro area (19 countries)","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","3,600"
"2007","Euro area (19 countries)","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,200"
"2007","Euro area (19 countries)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","103.2"
"2007","Euro area (19 countries)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","99.6"
"2007","Euro area (19 countries)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","95.6"
"2007","Euro area (19 countries)","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","95.0"
"2007","Euro area (19 countries)","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","96.5"
"2007","Euro area (12 countries)","Current prices, euro per capita","Gross domestic product at market prices","29,200"
"2007","Euro area (12 countries)","Current prices, euro per capita","Final consumption expenditure","21,800"
"2007","Euro area (12 countries)","Current prices, euro per capita","Final consumption expenditure of general government","5,700"
"2007","Euro area (12 countries)","Current prices, euro per capita","Individual consumption expenditure of general government","3,500"
"2007","Euro area (12 countries)","Current prices, euro per capita","Collective consumption expenditure of general government","2,200"
"2007","Euro area (12 countries)","Current prices, units of national currency per capita","Gross domestic product at market prices","29,200"
"2007","Euro area (12 countries)","Current prices, units of national currency per capita","Final consumption expenditure","21,800"
"2007","Euro area (12 countries)","Current prices, units of national currency per capita","Final consumption expenditure of general government","5,700"
"2007","Euro area (12 countries)","Current prices, units of national currency per capita","Individual consumption expenditure of general government","3,500"
"2007","Euro area (12 countries)","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,200"
"2007","Euro area (12 countries)","Current prices, PPS per capita","Gross domestic product at market prices","29,000"
"2007","Euro area (12 countries)","Current prices, PPS per capita","Final consumption expenditure","21,600"
"2007","Euro area (12 countries)","Current prices, PPS per capita","Final consumption expenditure of general government","5,700"
"2007","Euro area (12 countries)","Current prices, PPS per capita","Individual consumption expenditure of general government","3,500"
"2007","Euro area (12 countries)","Current prices, PPS per capita","Collective consumption expenditure of general government","2,200"
"2007","Euro area (12 countries)","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,200"
"2007","Euro area (12 countries)","Chain linked volumes (2010), euro per capita","Final consumption expenditure","22,600"
"2007","Euro area (12 countries)","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","6,000"
"2007","Euro area (12 countries)","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","3,700"
"2007","Euro area (12 countries)","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,300"
"2007","Euro area (12 countries)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","103.3"
"2007","Euro area (12 countries)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","99.6"
"2007","Euro area (12 countries)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","95.7"
"2007","Euro area (12 countries)","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","95.0"
"2007","Euro area (12 countries)","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","96.7"
"2007","Belgium","Current prices, euro per capita","Gross domestic product at market prices","32,500"
"2007","Belgium","Current prices, euro per capita","Final consumption expenditure","23,300"
"2007","Belgium","Current prices, euro per capita","Final consumption expenditure of general government","7,000"
"2007","Belgium","Current prices, euro per capita","Individual consumption expenditure of general government","4,300"
"2007","Belgium","Current prices, euro per capita","Collective consumption expenditure of general government","2,700"
"2007","Belgium","Current prices, units of national currency per capita","Gross domestic product at market prices","32,500"
"2007","Belgium","Current prices, units of national currency per capita","Final consumption expenditure","23,300"
"2007","Belgium","Current prices, units of national currency per capita","Final consumption expenditure of general government","7,000"
"2007","Belgium","Current prices, units of national currency per capita","Individual consumption expenditure of general government","4,300"
"2007","Belgium","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,700"
"2007","Belgium","Current prices, PPS per capita","Gross domestic product at market prices","30,400"
"2007","Belgium","Current prices, PPS per capita","Final consumption expenditure","21,800"
"2007","Belgium","Current prices, PPS per capita","Final consumption expenditure of general government","6,600"
"2007","Belgium","Current prices, PPS per capita","Individual consumption expenditure of general government","4,100"
"2007","Belgium","Current prices, PPS per capita","Collective consumption expenditure of general government","2,500"
"2007","Belgium","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,000"
"2007","Belgium","Chain linked volumes (2010), euro per capita","Final consumption expenditure","24,700"
"2007","Belgium","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","7,700"
"2007","Belgium","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","4,900"
"2007","Belgium","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,800"
"2007","Belgium","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","101.3"
"2007","Belgium","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","97.6"
"2007","Belgium","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","97.5"
"2007","Belgium","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","96.7"
"2007","Belgium","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","98.9"
"2007","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","4,300"
"2007","Bulgaria","Current prices, euro per capita","Final consumption expenditure","3,700"
"2007","Bulgaria","Current prices, euro per capita","Final consumption expenditure of general government","700"
"2007","Bulgaria","Current prices, euro per capita","Individual consumption expenditure of general government","300"
"2007","Bulgaria","Current prices, euro per capita","Collective consumption expenditure of general government","400"
"2007","Bulgaria","Current prices, units of national currency per capita","Gross domestic product at market prices","8,400"
"2007","Bulgaria","Current prices, units of national currency per capita","Final consumption expenditure","7,200"
"2007","Bulgaria","Current prices, units of national currency per capita","Final consumption expenditure of general government","1,400"
"2007","Bulgaria","Current prices, units of national currency per capita","Individual consumption expenditure of general government","600"
"2007","Bulgaria","Current prices, units of national currency per capita","Collective consumption expenditure of general government","800"
"2007","Bulgaria","Current prices, PPS per capita","Gross domestic product at market prices","10,600"
"2007","Bulgaria","Current prices, PPS per capita","Final consumption expenditure","9,000"
"2007","Bulgaria","Current prices, PPS per capita","Final consumption expenditure of general government","1,800"
"2007","Bulgaria","Current prices, PPS per capita","Individual consumption expenditure of general government","800"
"2007","Bulgaria","Current prices, PPS per capita","Collective consumption expenditure of general government","1,000"
"2007","Bulgaria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,900"
"2007","Bulgaria","Chain linked volumes (2010), euro per capita","Final consumption expenditure","4,100"
"2007","Bulgaria","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","900"
"2007","Bulgaria","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","400"
"2007","Bulgaria","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","400"
"2007","Bulgaria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","94.6"
"2007","Bulgaria","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","98.4"
"2007","Bulgaria","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","100.3"
"2007","Bulgaria","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","98.3"
"2007","Bulgaria","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","102.0"
"2007","Czech Republic","Current prices, euro per capita","Gross domestic product at market prices","13,400"
"2007","Czech Republic","Current prices, euro per capita","Final consumption expenditure","8,700"
"2007","Czech Republic","Current prices, euro per capita","Final consumption expenditure of general government","2,600"
"2007","Czech Republic","Current prices, euro per capita","Individual consumption expenditure of general government","1,300"
"2007","Czech Republic","Current prices, euro per capita","Collective consumption expenditure of general government","1,300"
"2007","Czech Republic","Current prices, units of national currency per capita","Gross domestic product at market prices","371,200"
"2007","Czech Republic","Current prices, units of national currency per capita","Final consumption expenditure","242,800"
"2007","Czech Republic","Current prices, units of national currency per capita","Final consumption expenditure of general government","70,900"
"2007","Czech Republic","Current prices, units of national currency per capita","Individual consumption expenditure of general government","35,100"
"2007","Czech Republic","Current prices, units of national currency per capita","Collective consumption expenditure of general government","35,800"
"2007","Czech Republic","Current prices, PPS per capita","Gross domestic product at market prices","21,400"
"2007","Czech Republic","Current prices, PPS per capita","Final consumption expenditure","14,000"
"2007","Czech Republic","Current prices, PPS per capita","Final consumption expenditure of general government","4,100"
"2007","Czech Republic","Current prices, PPS per capita","Individual consumption expenditure of general government","2,000"
"2007","Czech Republic","Current prices, PPS per capita","Collective consumption expenditure of general government","2,100"
"2007","Czech Republic","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,200"
"2007","Czech Republic","Chain linked volumes (2010), euro per capita","Final consumption expenditure","10,200"
"2007","Czech Republic","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","3,000"
"2007","Czech Republic","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","1,500"
"2007","Czech Republic","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","1,500"
"2007","Czech Republic","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","101.9"
"2007","Czech Republic","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","98.3"
"2007","Czech Republic","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","97.4"
"2007","Czech Republic","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","97.6"
"2007","Czech Republic","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","97.2"
"2007","Denmark","Current prices, euro per capita","Gross domestic product at market prices","42,700"
"2007","Denmark","Current prices, euro per capita","Final consumption expenditure","30,700"
"2007","Denmark","Current prices, euro per capita","Final consumption expenditure of general government","10,400"
"2007","Denmark","Current prices, euro per capita","Individual consumption expenditure of general government","7,200"
"2007","Denmark","Current prices, euro per capita","Collective consumption expenditure of general government","3,200"
"2007","Denmark","Current prices, units of national currency per capita","Gross domestic product at market prices","318,500"
"2007","Denmark","Current prices, units of national currency per capita","Final consumption expenditure","228,700"
"2007","Denmark","Current prices, units of national currency per capita","Final consumption expenditure of general government","77,500"
"2007","Denmark","Current prices, units of national currency per capita","Individual consumption expenditure of general government","53,600"
"2007","Denmark","Current prices, units of national currency per capita","Collective consumption expenditure of general government","23,900"
"2007","Denmark","Current prices, PPS per capita","Gross domestic product at market prices","32,100"
"2007","Denmark","Current prices, PPS per capita","Final consumption expenditure","23,100"
"2007","Denmark","Current prices, PPS per capita","Final consumption expenditure of general government","7,800"
"2007","Denmark","Current prices, PPS per capita","Individual consumption expenditure of general government","5,400"
"2007","Denmark","Current prices, PPS per capita","Collective consumption expenditure of general government","2,400"
"2007","Denmark","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","46,200"
"2007","Denmark","Chain linked volumes (2010), euro per capita","Final consumption expenditure","33,000"
"2007","Denmark","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","11,300"
"2007","Denmark","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","7,700"
"2007","Denmark","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","3,500"
"2007","Denmark","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","105.4"
"2007","Denmark","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","100.3"
"2007","Denmark","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","94.0"
"2007","Denmark","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","92.2"
"2007","Denmark","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","98.2"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","31,000"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Final consumption expenditure","22,500"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Final consumption expenditure of general government","5,400"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Individual consumption expenditure of general government","3,400"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Collective consumption expenditure of general government","2,000"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, units of national currency per capita","Gross domestic product at market prices","31,000"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, units of national currency per capita","Final consumption expenditure","22,500"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, units of national currency per capita","Final consumption expenditure of general government","5,400"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, units of national currency per capita","Individual consumption expenditure of general government","3,400"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,000"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, PPS per capita","Gross domestic product at market prices","30,500"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, PPS per capita","Final consumption expenditure","22,200"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, PPS per capita","Final consumption expenditure of general government","5,300"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, PPS per capita","Individual consumption expenditure of general government","3,400"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, PPS per capita","Collective consumption expenditure of general government","2,000"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,100"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), euro per capita","Final consumption expenditure","23,300"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","5,600"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","3,600"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,100"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","99.8"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","96.5"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","91.9"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","91.3"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","93.0"
"2007","Estonia","Current prices, euro per capita","Gross domestic product at market prices","12,100"
"2007","Estonia","Current prices, euro per capita","Final consumption expenditure","8,400"
"2007","Estonia","Current prices, euro per capita","Final consumption expenditure of general government","1,900"
"2007","Estonia","Current prices, euro per capita","Individual consumption expenditure of general government","1,100"
"2007","Estonia","Current prices, euro per capita","Collective consumption expenditure of general government","900"
"2007","Estonia","Current prices, units of national currency per capita","Gross domestic product at market prices","12,100"
"2007","Estonia","Current prices, units of national currency per capita","Final consumption expenditure","8,400"
"2007","Estonia","Current prices, units of national currency per capita","Final consumption expenditure of general government","1,900"
"2007","Estonia","Current prices, units of national currency per capita","Individual consumption expenditure of general government","1,100"
"2007","Estonia","Current prices, units of national currency per capita","Collective consumption expenditure of general government","900"
"2007","Estonia","Current prices, PPS per capita","Gross domestic product at market prices","18,100"
"2007","Estonia","Current prices, PPS per capita","Final consumption expenditure","12,500"
"2007","Estonia","Current prices, PPS per capita","Final consumption expenditure of general government","2,900"
"2007","Estonia","Current prices, PPS per capita","Individual consumption expenditure of general government","1,600"
"2007","Estonia","Current prices, PPS per capita","Collective consumption expenditure of general government","1,300"
"2007","Estonia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","13,300"
"2007","Estonia","Chain linked volumes (2010), euro per capita","Final consumption expenditure","9,400"
"2007","Estonia","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","2,200"
"2007","Estonia","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","1,200"
"2007","Estonia","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","1,000"
"2007","Estonia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","120.4"
"2007","Estonia","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","117.7"
"2007","Estonia","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","98.4"
"2007","Estonia","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","96.6"
"2007","Estonia","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","101.0"
"2007","Ireland","Current prices, euro per capita","Gross domestic product at market prices","44,800"
"2007","Ireland","Current prices, euro per capita","Final consumption expenditure","28,000"
"2007","Ireland","Current prices, euro per capita","Final consumption expenditure of general government","7,600"
