"TIME","GEO","SEX","AGE","UNIT","Value"
"2010","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 29 years","Percentage","26.5"
"2011","Belgium","Total","From 15 to 29 years","Percentage","43.5"
"2011","Bulgaria","Total","From 15 to 29 years","Percentage","37.2"
"2011","Czech Republic","Total","From 15 to 29 years","Percentage","42.7"
"2011","Denmark","Total","From 15 to 29 years","Percentage","62.4"
"2011","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Percentage","58.4"
"2011","Estonia","Total","From 15 to 29 years","Percentage","46.4"
"2011","Ireland","Total","From 15 to 29 years","Percentage","43.6"
"2011","Greece","Total","From 15 to 29 years","Percentage","33.2"
"2011","Spain","Total","From 15 to 29 years","Percentage","38.7"
"2011","France","Total","From 15 to 29 years","Percentage","44.7"
"2011","Croatia","Total","From 15 to 29 years","Percentage","36.0"
"2011","Italy","Total","From 15 to 29 years","Percentage","33.4"
"2011","Cyprus","Total","From 15 to 29 years","Percentage","50.4"
"2011","Latvia","Total","From 15 to 29 years","Percentage","41.9"
"2011","Lithuania","Total","From 15 to 29 years","Percentage","34.6"
"2011","Luxembourg","Total","From 15 to 29 years","Percentage","42.3"
"2011","Hungary","Total","From 15 to 29 years","Percentage","34.8"
"2011","Malta","Total","From 15 to 29 years","Percentage","57.6"
"2011","Netherlands","Total","From 15 to 29 years","Percentage","68.8"
"2011","Austria","Total","From 15 to 29 years","Percentage","63.4"
"2011","Poland","Total","From 15 to 29 years","Percentage","43.4"
"2011","Portugal","Total","From 15 to 29 years","Percentage","43.9"
"2011","Romania","Total","From 15 to 29 years","Percentage","39.9"
"2011","Slovenia","Total","From 15 to 29 years","Percentage","47.8"
"2011","Slovakia","Total","From 15 to 29 years","Percentage","37.4"
"2011","Finland","Total","From 15 to 29 years","Percentage","52.8"
"2011","Sweden","Total","From 15 to 29 years","Percentage","52.8"
"2011","United Kingdom","Total","From 15 to 29 years","Percentage","56.7"
"2011","Iceland","Total","From 15 to 29 years","Percentage","66.9"
"2011","Norway","Total","From 15 to 29 years","Percentage","60.4"
"2011","Switzerland","Total","From 15 to 29 years","Percentage","70.6"
"2011","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 29 years","Percentage","25.5"
"2012","Belgium","Total","From 15 to 29 years","Percentage","42.7"
"2012","Bulgaria","Total","From 15 to 29 years","Percentage","37.5"
"2012","Czech Republic","Total","From 15 to 29 years","Percentage","42.9"
"2012","Denmark","Total","From 15 to 29 years","Percentage","60.2"
"2012","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Percentage","57.7"
"2012","Estonia","Total","From 15 to 29 years","Percentage","47.4"
"2012","Ireland","Total","From 15 to 29 years","Percentage","43.2"
"2012","Greece","Total","From 15 to 29 years","Percentage","28.6"
"2012","Spain","Total","From 15 to 29 years","Percentage","34.5"
"2012","France","Total","From 15 to 29 years","Percentage","43.6"
"2012","Croatia","Total","From 15 to 29 years","Percentage","33.4"
"2012","Italy","Total","From 15 to 29 years","Percentage","32.3"
"2012","Cyprus","Total","From 15 to 29 years","Percentage","47.2"
"2012","Latvia","Total","From 15 to 29 years","Percentage","45.4"
"2012","Lithuania","Total","From 15 to 29 years","Percentage","38.0"
"2012","Luxembourg","Total","From 15 to 29 years","Percentage","42.8"
"2012","Hungary","Total","From 15 to 29 years","Percentage","35.1"
"2012","Malta","Total","From 15 to 29 years","Percentage","57.2"
"2012","Netherlands","Total","From 15 to 29 years","Percentage","68.5"
"2012","Austria","Total","From 15 to 29 years","Percentage","63.5"
"2012","Poland","Total","From 15 to 29 years","Percentage","43.2"
"2012","Portugal","Total","From 15 to 29 years","Percentage","40.1"
"2012","Romania","Total","From 15 to 29 years","Percentage","40.2"
"2012","Slovenia","Total","From 15 to 29 years","Percentage","44.8"
"2012","Slovakia","Total","From 15 to 29 years","Percentage","38.0"
"2012","Finland","Total","From 15 to 29 years","Percentage","53.3"
"2012","Sweden","Total","From 15 to 29 years","Percentage","52.3"
"2012","United Kingdom","Total","From 15 to 29 years","Percentage","56.9"
"2012","Iceland","Total","From 15 to 29 years","Percentage","68.6"
"2012","Norway","Total","From 15 to 29 years","Percentage","61.4"
"2012","Switzerland","Total","From 15 to 29 years","Percentage","69.8"
"2012","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 29 years","Percentage","26.1"
"2013","Belgium","Total","From 15 to 29 years","Percentage","41.4"
"2013","Bulgaria","Total","From 15 to 29 years","Percentage","36.7"
"2013","Czech Republic","Total","From 15 to 29 years","Percentage","44.3"
"2013","Denmark","Total","From 15 to 29 years","Percentage","59.7"
"2013","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Percentage","58.0"
"2013","Estonia","Total","From 15 to 29 years","Percentage","48.6"
"2013","Ireland","Total","From 15 to 29 years","Percentage","43.8"
"2013","Greece","Total","From 15 to 29 years","Percentage","25.6"
"2013","Spain","Total","From 15 to 29 years","Percentage","32.6"
"2013","France","Total","From 15 to 29 years","Percentage","43.4"
"2013","Croatia","Total","From 15 to 29 years","Percentage","31.6"
"2013","Italy","Total","From 15 to 29 years","Percentage","29.1"
"2013","Cyprus","Total","From 15 to 29 years","Percentage","43.2"
"2013","Latvia","Total","From 15 to 29 years","Percentage","47.9"
"2013","Lithuania","Total","From 15 to 29 years","Percentage","41.1"
"2013","Luxembourg","Total","From 15 to 29 years","Percentage","41.9"
"2013","Hungary","Total","From 15 to 29 years","Percentage","36.9"
"2013","Malta","Total","From 15 to 29 years","Percentage","59.1"
"2013","Netherlands","Total","From 15 to 29 years","Percentage","67.3"
"2013","Austria","Total","From 15 to 29 years","Percentage","62.9"
"2013","Poland","Total","From 15 to 29 years","Percentage","42.8"
"2013","Portugal","Total","From 15 to 29 years","Percentage","37.8"
"2013","Romania","Total","From 15 to 29 years","Percentage","40.2"
"2013","Slovenia","Total","From 15 to 29 years","Percentage","43.5"
"2013","Slovakia","Total","From 15 to 29 years","Percentage","38.0"
"2013","Finland","Total","From 15 to 29 years","Percentage","53.0"
"2013","Sweden","Total","From 15 to 29 years","Percentage","53.7"
"2013","United Kingdom","Total","From 15 to 29 years","Percentage","57.5"
"2013","Iceland","Total","From 15 to 29 years","Percentage","73.0"
"2013","Norway","Total","From 15 to 29 years","Percentage","61.0"
"2013","Switzerland","Total","From 15 to 29 years","Percentage","69.7"
"2013","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 29 years","Percentage","26.8"
"2014","Belgium","Total","From 15 to 29 years","Percentage","41.5"
"2014","Bulgaria","Total","From 15 to 29 years","Percentage","38.0"
"2014","Czech Republic","Total","From 15 to 29 years","Percentage","45.7"
"2014","Denmark","Total","From 15 to 29 years","Percentage","59.8"
"2014","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Percentage","57.8"
"2014","Estonia","Total","From 15 to 29 years","Percentage","50.7"
"2014","Ireland","Total","From 15 to 29 years","Percentage","43.0"
"2014","Greece","Total","From 15 to 29 years","Percentage","27.1"
"2014","Spain","Total","From 15 to 29 years","Percentage","33.1"
"2014","France","Total","From 15 to 29 years","Percentage","43.3"
"2014","Croatia","Total","From 15 to 29 years","Percentage","34.8"
"2014","Italy","Total","From 15 to 29 years","Percentage","28.3"
"2014","Cyprus","Total","From 15 to 29 years","Percentage","44.9"
"2014","Latvia","Total","From 15 to 29 years","Percentage","50.3"
"2014","Lithuania","Total","From 15 to 29 years","Percentage","44.2"
"2014","Luxembourg","Total","From 15 to 29 years","Percentage","43.4"
"2014","Hungary","Total","From 15 to 29 years","Percentage","40.8"
"2014","Malta","Total","From 15 to 29 years","Percentage","59.7"
"2014","Netherlands","Total","From 15 to 29 years","Percentage","66.3"
"2014","Austria","Total","From 15 to 29 years","Percentage","61.9"
"2014","Poland","Total","From 15 to 29 years","Percentage","44.4"
"2014","Portugal","Total","From 15 to 29 years","Percentage","39.0"
"2014","Romania","Total","From 15 to 29 years","Percentage","41.0"
"2014","Slovenia","Total","From 15 to 29 years","Percentage","42.9"
"2014","Slovakia","Total","From 15 to 29 years","Percentage","39.4"
"2014","Finland","Total","From 15 to 29 years","Percentage","52.3"
"2014","Sweden","Total","From 15 to 29 years","Percentage","55.0"
"2014","United Kingdom","Total","From 15 to 29 years","Percentage","59.1"
"2014","Iceland","Total","From 15 to 29 years","Percentage","73.5"
"2014","Norway","Total","From 15 to 29 years","Percentage","59.8"
"2014","Switzerland","Total","From 15 to 29 years","Percentage","70.0"
"2014","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 29 years","Percentage","27.1"
"2015","Belgium","Total","From 15 to 29 years","Percentage","41.3"
"2015","Bulgaria","Total","From 15 to 29 years","Percentage","39.2"
"2015","Czech Republic","Total","From 15 to 29 years","Percentage","46.8"
"2015","Denmark","Total","From 15 to 29 years","Percentage","61.5"
"2015","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Percentage","57.7"
"2015","Estonia","Total","From 15 to 29 years","Percentage","54.4"
"2015","Ireland","Total","From 15 to 29 years","Percentage","43.7"
"2015","Greece","Total","From 15 to 29 years","Percentage","28.0"
"2015","Spain","Total","From 15 to 29 years","Percentage","33.7"
"2015","France","Total","From 15 to 29 years","Percentage","43.1"
"2015","Croatia","Total","From 15 to 29 years","Percentage","35.6"
"2015","Italy","Total","From 15 to 29 years","Percentage","28.6"
"2015","Cyprus","Total","From 15 to 29 years","Percentage","44.6"
"2015","Latvia","Total","From 15 to 29 years","Percentage","52.2"
"2015","Lithuania","Total","From 15 to 29 years","Percentage","45.5"
"2015","Luxembourg","Total","From 15 to 29 years","Percentage","48.5"
"2015","Hungary","Total","From 15 to 29 years","Percentage","42.6"
"2015","Malta","Total","From 15 to 29 years","Percentage","59.8"
"2015","Netherlands","Total","From 15 to 29 years","Percentage","68.0"
"2015","Austria","Total","From 15 to 29 years","Percentage","62.0"
"2015","Poland","Total","From 15 to 29 years","Percentage","45.0"
"2015","Portugal","Total","From 15 to 29 years","Percentage","39.5"
"2015","Romania","Total","From 15 to 29 years","Percentage","43.1"
"2015","Slovenia","Total","From 15 to 29 years","Percentage","45.9"
"2015","Slovakia","Total","From 15 to 29 years","Percentage","42.3"
"2015","Finland","Total","From 15 to 29 years","Percentage","51.7"
"2015","Sweden","Total","From 15 to 29 years","Percentage","56.4"
"2015","United Kingdom","Total","From 15 to 29 years","Percentage","60.9"
"2015","Iceland","Total","From 15 to 29 years","Percentage","77.2"
"2015","Norway","Total","From 15 to 29 years","Percentage","59.8"
"2015","Switzerland","Total","From 15 to 29 years","Percentage","70.3"
"2015","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 29 years","Percentage","28.3"
"2016","Belgium","Total","From 15 to 29 years","Percentage","41.4"
"2016","Bulgaria","Total","From 15 to 29 years","Percentage","38.3"
"2016","Czech Republic","Total","From 15 to 29 years","Percentage","47.7"
"2016","Denmark","Total","From 15 to 29 years","Percentage","63.6"
"2016","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Percentage","58.3"
"2016","Estonia","Total","From 15 to 29 years","Percentage","53.9"
"2016","Ireland","Total","From 15 to 29 years","Percentage","46.4"
"2016","Greece","Total","From 15 to 29 years","Percentage","28.6"
"2016","Spain","Total","From 15 to 29 years","Percentage","34.6"
"2016","France","Total","From 15 to 29 years","Percentage","43.4"
"2016","Croatia","Total","From 15 to 29 years","Percentage","39.8"
"2016","Italy","Total","From 15 to 29 years","Percentage","29.7"
"2016","Cyprus","Total","From 15 to 29 years","Percentage","45.2"
"2016","Latvia","Total","From 15 to 29 years","Percentage","51.9"
"2016","Lithuania","Total","From 15 to 29 years","Percentage","47.7"
"2016","Luxembourg","Total","From 15 to 29 years","Percentage","46.7"
"2016","Hungary","Total","From 15 to 29 years","Percentage","45.2"
"2016","Malta","Total","From 15 to 29 years","Percentage","61.8"
"2016","Netherlands","Total","From 15 to 29 years","Percentage","68.3"
"2016","Austria","Total","From 15 to 29 years","Percentage","62.2"
"2016","Poland","Total","From 15 to 29 years","Percentage","47.7"
"2016","Portugal","Total","From 15 to 29 years","Percentage","40.4"
"2016","Romania","Total","From 15 to 29 years","Percentage","41.5"
"2016","Slovenia","Total","From 15 to 29 years","Percentage","45.6"
"2016","Slovakia","Total","From 15 to 29 years","Percentage","44.1"
"2016","Finland","Total","From 15 to 29 years","Percentage","52.8"
"2016","Sweden","Total","From 15 to 29 years","Percentage","57.3"
"2016","United Kingdom","Total","From 15 to 29 years","Percentage","62.2"
"2016","Iceland","Total","From 15 to 29 years","Percentage","81.2"
"2016","Norway","Total","From 15 to 29 years","Percentage","59.0"
"2016","Switzerland","Total","From 15 to 29 years","Percentage","71.1"
"2016","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 29 years","Percentage","28.6"
