"TIME","GEO","SEX","AGE","UNIT","REASON","Value","Flag and Footnotes"
"2007","European Union (28 countries)","Males","From 15 to 19 years","Percentage","Other","7.7",""
"2007","European Union (28 countries)","Males","From 15 to 24 years","Percentage","Could not find a full-time job","20.9",""
"2007","European Union (28 countries)","Males","From 15 to 24 years","Percentage","Own illness or disability","1.0","u"
"2007","European Union (28 countries)","Males","From 15 to 24 years","Percentage","Other family or personal responsabilities","1.9",""
"2007","European Union (28 countries)","Males","From 15 to 24 years","Percentage","Looking after children or incapacitated adults",":","u"
"2007","European Union (28 countries)","Males","From 15 to 24 years","Percentage","In education or training","65.6",""
"2007","European Union (28 countries)","Males","From 15 to 24 years","Percentage","Other","10.6",""
"2007","European Union (28 countries)","Males","From 15 to 29 years","Percentage","Could not find a full-time job","25.8",""
"2007","European Union (28 countries)","Males","From 15 to 29 years","Percentage","Own illness or disability","1.6",""
"2007","European Union (28 countries)","Males","From 15 to 29 years","Percentage","Other family or personal responsabilities","2.4",""
"2007","European Union (28 countries)","Males","From 15 to 29 years","Percentage","Looking after children or incapacitated adults","0.5","u"
"2007","European Union (28 countries)","Males","From 15 to 29 years","Percentage","In education or training","56.8",""
"2007","European Union (28 countries)","Males","From 15 to 29 years","Percentage","Other","13.0",""
"2007","European Union (28 countries)","Males","From 20 to 24 years","Percentage","Could not find a full-time job","29.8",""
"2007","European Union (28 countries)","Males","From 20 to 24 years","Percentage","Own illness or disability","1.7","u"
"2007","European Union (28 countries)","Males","From 20 to 24 years","Percentage","Other family or personal responsabilities","2.2",""
"2007","European Union (28 countries)","Males","From 20 to 24 years","Percentage","Looking after children or incapacitated adults",":","u"
"2007","European Union (28 countries)","Males","From 20 to 24 years","Percentage","In education or training","52.9",""
"2007","European Union (28 countries)","Males","From 20 to 24 years","Percentage","Other","13.2",""
"2007","European Union (28 countries)","Males","From 20 to 29 years","Percentage","Could not find a full-time job","33.3",""
"2007","European Union (28 countries)","Males","From 20 to 29 years","Percentage","Own illness or disability","2.3",""
"2007","European Union (28 countries)","Males","From 20 to 29 years","Percentage","Other family or personal responsabilities","2.8",""
"2007","European Union (28 countries)","Males","From 20 to 29 years","Percentage","Looking after children or incapacitated adults","0.7","u"
"2007","European Union (28 countries)","Males","From 20 to 29 years","Percentage","In education or training","45.2",""
"2007","European Union (28 countries)","Males","From 20 to 29 years","Percentage","Other","15.7",""
"2007","European Union (28 countries)","Males","From 25 to 29 years","Percentage","Could not find a full-time job","37.9",""
"2007","European Union (28 countries)","Males","From 25 to 29 years","Percentage","Own illness or disability","3.1",""
"2007","European Union (28 countries)","Males","From 25 to 29 years","Percentage","Other family or personal responsabilities","3.6",""
"2007","European Union (28 countries)","Males","From 25 to 29 years","Percentage","Looking after children or incapacitated adults","1.3","u"
"2007","European Union (28 countries)","Males","From 25 to 29 years","Percentage","In education or training","35.1",""
"2007","European Union (28 countries)","Males","From 25 to 29 years","Percentage","Other","19.0",""
"2007","European Union (28 countries)","Females","From 15 to 19 years","Percentage","Could not find a full-time job","12.9",""
"2007","European Union (28 countries)","Females","From 15 to 19 years","Percentage","Own illness or disability",":","u"
"2007","European Union (28 countries)","Females","From 15 to 19 years","Percentage","Other family or personal responsabilities","1.5","u"
"2007","European Union (28 countries)","Females","From 15 to 19 years","Percentage","Looking after children or incapacitated adults","0.8","u"
"2007","European Union (28 countries)","Females","From 15 to 19 years","Percentage","In education or training","77.2",""
"2007","European Union (28 countries)","Females","From 15 to 19 years","Percentage","Other","7.4",""
"2007","European Union (28 countries)","Females","From 15 to 24 years","Percentage","Could not find a full-time job","24.8",""
"2007","European Union (28 countries)","Females","From 15 to 24 years","Percentage","Own illness or disability","0.6","u"
"2007","European Union (28 countries)","Females","From 15 to 24 years","Percentage","Other family or personal responsabilities","2.7",""
"2007","European Union (28 countries)","Females","From 15 to 24 years","Percentage","Looking after children or incapacitated adults","4.6",""
"2007","European Union (28 countries)","Females","From 15 to 24 years","Percentage","In education or training","54.8",""
"2007","European Union (28 countries)","Females","From 15 to 24 years","Percentage","Other","12.5",""
"2007","European Union (28 countries)","Females","From 15 to 29 years","Percentage","Could not find a full-time job","27.5",""
"2007","European Union (28 countries)","Females","From 15 to 29 years","Percentage","Own illness or disability","1.0",""
"2007","European Union (28 countries)","Females","From 15 to 29 years","Percentage","Other family or personal responsabilities","5.1",""
"2007","European Union (28 countries)","Females","From 15 to 29 years","Percentage","Looking after children or incapacitated adults","14.7",""
"2007","European Union (28 countries)","Females","From 15 to 29 years","Percentage","In education or training","38.4",""
"2007","European Union (28 countries)","Females","From 15 to 29 years","Percentage","Other","13.3",""
"2007","European Union (28 countries)","Females","From 20 to 24 years","Percentage","Could not find a full-time job","32.1",""
"2007","European Union (28 countries)","Females","From 20 to 24 years","Percentage","Own illness or disability","0.7","u"
"2007","European Union (28 countries)","Females","From 20 to 24 years","Percentage","Other family or personal responsabilities","3.5",""
"2007","European Union (28 countries)","Females","From 20 to 24 years","Percentage","Looking after children or incapacitated adults","6.9",""
"2007","European Union (28 countries)","Females","From 20 to 24 years","Percentage","In education or training","41.1",""
"2007","European Union (28 countries)","Females","From 20 to 24 years","Percentage","Other","15.6",""
"2007","European Union (28 countries)","Females","From 20 to 29 years","Percentage","Could not find a full-time job","31.8",""
"2007","European Union (28 countries)","Females","From 20 to 29 years","Percentage","Own illness or disability","1.2",""
"2007","European Union (28 countries)","Females","From 20 to 29 years","Percentage","Other family or personal responsabilities","6.2",""
"2007","European Union (28 countries)","Females","From 20 to 29 years","Percentage","Looking after children or incapacitated adults","18.8",""
"2007","European Union (28 countries)","Females","From 20 to 29 years","Percentage","In education or training","27.0",""
"2007","European Union (28 countries)","Females","From 20 to 29 years","Percentage","Other","15.0",""
"2007","European Union (28 countries)","Females","From 25 to 29 years","Percentage","Could not find a full-time job","31.6",""
"2007","European Union (28 countries)","Females","From 25 to 29 years","Percentage","Own illness or disability","1.5",""
"2007","European Union (28 countries)","Females","From 25 to 29 years","Percentage","Other family or personal responsabilities","8.6",""
"2007","European Union (28 countries)","Females","From 25 to 29 years","Percentage","Looking after children or incapacitated adults","29.7",""
"2007","European Union (28 countries)","Females","From 25 to 29 years","Percentage","In education or training","14.1",""
"2007","European Union (28 countries)","Females","From 25 to 29 years","Percentage","Other","14.5",""
"2007","European Union (27 countries)","Total","From 15 to 19 years","Percentage","Could not find a full-time job","12.0",""
"2007","European Union (27 countries)","Total","From 15 to 19 years","Percentage","Own illness or disability",":","u"
"2007","European Union (27 countries)","Total","From 15 to 19 years","Percentage","Other family or personal responsabilities","1.5",""
"2007","European Union (27 countries)","Total","From 15 to 19 years","Percentage","Looking after children or incapacitated adults","0.5","u"
"2007","European Union (27 countries)","Total","From 15 to 19 years","Percentage","In education or training","78.3",""
"2007","European Union (27 countries)","Total","From 15 to 19 years","Percentage","Other","7.5",""
"2007","European Union (27 countries)","Total","From 15 to 24 years","Percentage","Could not find a full-time job","23.2",""
"2007","European Union (27 countries)","Total","From 15 to 24 years","Percentage","Own illness or disability","0.7",""
"2007","European Union (27 countries)","Total","From 15 to 24 years","Percentage","Other family or personal responsabilities","2.4",""
"2007","European Union (27 countries)","Total","From 15 to 24 years","Percentage","Looking after children or incapacitated adults","2.9",""
"2007","European Union (27 countries)","Total","From 15 to 24 years","Percentage","In education or training","59.1",""
"2007","European Union (27 countries)","Total","From 15 to 24 years","Percentage","Other","11.7",""
"2007","European Union (27 countries)","Total","From 15 to 29 years","Percentage","Could not find a full-time job","26.9",""
"2007","European Union (27 countries)","Total","From 15 to 29 years","Percentage","Own illness or disability","1.2",""
"2007","European Union (27 countries)","Total","From 15 to 29 years","Percentage","Other family or personal responsabilities","4.1",""
"2007","European Union (27 countries)","Total","From 15 to 29 years","Percentage","Looking after children or incapacitated adults","9.7",""
"2007","European Union (27 countries)","Total","From 15 to 29 years","Percentage","In education or training","45.0",""
"2007","European Union (27 countries)","Total","From 15 to 29 years","Percentage","Other","13.1",""
"2007","European Union (27 countries)","Total","From 20 to 24 years","Percentage","Could not find a full-time job","31.3",""
"2007","European Union (27 countries)","Total","From 20 to 24 years","Percentage","Own illness or disability","1.1",""
"2007","European Union (27 countries)","Total","From 20 to 24 years","Percentage","Other family or personal responsabilities","3.0",""
"2007","European Union (27 countries)","Total","From 20 to 24 years","Percentage","Looking after children or incapacitated adults","4.6",""
"2007","European Union (27 countries)","Total","From 20 to 24 years","Percentage","In education or training","45.4",""
"2007","European Union (27 countries)","Total","From 20 to 24 years","Percentage","Other","14.7",""
"2007","European Union (27 countries)","Total","From 20 to 29 years","Percentage","Could not find a full-time job","32.3",""
"2007","European Union (27 countries)","Total","From 20 to 29 years","Percentage","Own illness or disability","1.5",""
"2007","European Union (27 countries)","Total","From 20 to 29 years","Percentage","Other family or personal responsabilities","5.1",""
"2007","European Union (27 countries)","Total","From 20 to 29 years","Percentage","Looking after children or incapacitated adults","13.0",""
"2007","European Union (27 countries)","Total","From 20 to 29 years","Percentage","In education or training","32.9",""
"2007","European Union (27 countries)","Total","From 20 to 29 years","Percentage","Other","15.2",""
"2007","European Union (27 countries)","Total","From 25 to 29 years","Percentage","Could not find a full-time job","33.4",""
"2007","European Union (27 countries)","Total","From 25 to 29 years","Percentage","Own illness or disability","2.0",""
"2007","European Union (27 countries)","Total","From 25 to 29 years","Percentage","Other family or personal responsabilities","7.2",""
"2007","European Union (27 countries)","Total","From 25 to 29 years","Percentage","Looking after children or incapacitated adults","21.7",""
"2007","European Union (27 countries)","Total","From 25 to 29 years","Percentage","In education or training","20.0",""
"2007","European Union (27 countries)","Total","From 25 to 29 years","Percentage","Other","15.7",""
"2007","European Union (27 countries)","Males","From 15 to 19 years","Percentage","Could not find a full-time job","11.0",""
"2007","European Union (27 countries)","Males","From 15 to 19 years","Percentage","Own illness or disability",":","u"
"2007","European Union (27 countries)","Males","From 15 to 19 years","Percentage","Other family or personal responsabilities","1.5","u"
"2007","European Union (27 countries)","Males","From 15 to 19 years","Percentage","Looking after children or incapacitated adults",":","u"
"2007","European Union (27 countries)","Males","From 15 to 19 years","Percentage","In education or training","79.7",""
"2007","European Union (27 countries)","Males","From 15 to 19 years","Percentage","Other","7.7",""
"2007","European Union (27 countries)","Males","From 15 to 24 years","Percentage","Could not find a full-time job","20.9",""
"2007","European Union (27 countries)","Males","From 15 to 24 years","Percentage","Own illness or disability","1.0","u"
"2007","European Union (27 countries)","Males","From 15 to 24 years","Percentage","Other family or personal responsabilities","1.8",""
"2007","European Union (27 countries)","Males","From 15 to 24 years","Percentage","Looking after children or incapacitated adults",":","u"
"2007","European Union (27 countries)","Males","From 15 to 24 years","Percentage","In education or training","65.6",""
"2007","European Union (27 countries)","Males","From 15 to 24 years","Percentage","Other","10.5",""
"2007","European Union (27 countries)","Males","From 15 to 29 years","Percentage","Could not find a full-time job","25.8",""
"2007","European Union (27 countries)","Males","From 15 to 29 years","Percentage","Own illness or disability","1.6",""
"2007","European Union (27 countries)","Males","From 15 to 29 years","Percentage","Other family or personal responsabilities","2.3",""
"2007","European Union (27 countries)","Males","From 15 to 29 years","Percentage","Looking after children or incapacitated adults","0.5","u"
"2007","European Union (27 countries)","Males","From 15 to 29 years","Percentage","In education or training","56.8",""
"2007","European Union (27 countries)","Males","From 15 to 29 years","Percentage","Other","13.0",""
"2007","European Union (27 countries)","Males","From 20 to 24 years","Percentage","Could not find a full-time job","29.8",""
"2007","European Union (27 countries)","Males","From 20 to 24 years","Percentage","Own illness or disability","1.7","u"
"2007","European Union (27 countries)","Males","From 20 to 24 years","Percentage","Other family or personal responsabilities","2.2",""
"2007","European Union (27 countries)","Males","From 20 to 24 years","Percentage","Looking after children or incapacitated adults",":","u"
"2007","European Union (27 countries)","Males","From 20 to 24 years","Percentage","In education or training","53.0",""
"2007","European Union (27 countries)","Males","From 20 to 24 years","Percentage","Other","13.1",""
"2007","European Union (27 countries)","Males","From 20 to 29 years","Percentage","Could not find a full-time job","33.3",""
"2007","European Union (27 countries)","Males","From 20 to 29 years","Percentage","Own illness or disability","2.3",""
"2007","European Union (27 countries)","Males","From 20 to 29 years","Percentage","Other family or personal responsabilities","2.8",""
"2007","European Union (27 countries)","Males","From 20 to 29 years","Percentage","Looking after children or incapacitated adults","0.7","u"
"2007","European Union (27 countries)","Males","From 20 to 29 years","Percentage","In education or training","45.2",""
"2007","European Union (27 countries)","Males","From 20 to 29 years","Percentage","Other","15.6",""
"2007","European Union (27 countries)","Males","From 25 to 29 years","Percentage","Could not find a full-time job","37.9",""
"2007","European Union (27 countries)","Males","From 25 to 29 years","Percentage","Own illness or disability","3.1",""
"2007","European Union (27 countries)","Males","From 25 to 29 years","Percentage","Other family or personal responsabilities","3.6",""
"2007","European Union (27 countries)","Males","From 25 to 29 years","Percentage","Looking after children or incapacitated adults","1.3","u"
"2007","European Union (27 countries)","Males","From 25 to 29 years","Percentage","In education or training","35.1",""
"2007","European Union (27 countries)","Males","From 25 to 29 years","Percentage","Other","19.0",""
"2007","European Union (27 countries)","Females","From 15 to 19 years","Percentage","Could not find a full-time job","12.9",""
"2007","European Union (27 countries)","Females","From 15 to 19 years","Percentage","Own illness or disability",":","u"
"2007","European Union (27 countries)","Females","From 15 to 19 years","Percentage","Other family or personal responsabilities","1.5","u"
"2007","European Union (27 countries)","Females","From 15 to 19 years","Percentage","Looking after children or incapacitated adults","0.8","u"
"2007","European Union (27 countries)","Females","From 15 to 19 years","Percentage","In education or training","77.2",""
"2007","European Union (27 countries)","Females","From 15 to 19 years","Percentage","Other","7.3",""
"2007","European Union (27 countries)","Females","From 15 to 24 years","Percentage","Could not find a full-time job","24.8",""
"2007","European Union (27 countries)","Females","From 15 to 24 years","Percentage","Own illness or disability","0.6","u"
"2007","European Union (27 countries)","Females","From 15 to 24 years","Percentage","Other family or personal responsabilities","2.7",""
"2007","European Union (27 countries)","Females","From 15 to 24 years","Percentage","Looking after children or incapacitated adults","4.6",""
"2007","European Union (27 countries)","Females","From 15 to 24 years","Percentage","In education or training","54.9",""
"2007","European Union (27 countries)","Females","From 15 to 24 years","Percentage","Other","12.5",""
"2007","European Union (27 countries)","Females","From 15 to 29 years","Percentage","Could not find a full-time job","27.5",""
"2007","European Union (27 countries)","Females","From 15 to 29 years","Percentage","Own illness or disability","1.0",""
"2007","European Union (27 countries)","Females","From 15 to 29 years","Percentage","Other family or personal responsabilities","5.1",""
"2007","European Union (27 countries)","Females","From 15 to 29 years","Percentage","Looking after children or incapacitated adults","14.7",""
"2007","European Union (27 countries)","Females","From 15 to 29 years","Percentage","In education or training","38.4",""
"2007","European Union (27 countries)","Females","From 15 to 29 years","Percentage","Other","13.3",""
"2007","European Union (27 countries)","Females","From 20 to 24 years","Percentage","Could not find a full-time job","32.0",""
"2007","European Union (27 countries)","Females","From 20 to 24 years","Percentage","Own illness or disability","0.7","u"
"2007","European Union (27 countries)","Females","From 20 to 24 years","Percentage","Other family or personal responsabilities","3.5",""
"2007","European Union (27 countries)","Females","From 20 to 24 years","Percentage","Looking after children or incapacitated adults","7.0",""
"2007","European Union (27 countries)","Females","From 20 to 24 years","Percentage","In education or training","41.2",""
"2007","European Union (27 countries)","Females","From 20 to 24 years","Percentage","Other","15.6",""
"2007","European Union (27 countries)","Females","From 20 to 29 years","Percentage","Could not find a full-time job","31.8",""
"2007","European Union (27 countries)","Females","From 20 to 29 years","Percentage","Own illness or disability","1.2",""
"2007","European Union (27 countries)","Females","From 20 to 29 years","Percentage","Other family or personal responsabilities","6.2",""
"2007","European Union (27 countries)","Females","From 20 to 29 years","Percentage","Looking after children or incapacitated adults","18.8",""
"2007","European Union (27 countries)","Females","From 20 to 29 years","Percentage","In education or training","27.1",""
"2007","European Union (27 countries)","Females","From 20 to 29 years","Percentage","Other","15.0",""
"2007","European Union (27 countries)","Females","From 25 to 29 years","Percentage","Could not find a full-time job","31.6",""
"2007","European Union (27 countries)","Females","From 25 to 29 years","Percentage","Own illness or disability","1.5",""
"2007","European Union (27 countries)","Females","From 25 to 29 years","Percentage","Other family or personal responsabilities","8.7",""
"2007","European Union (27 countries)","Females","From 25 to 29 years","Percentage","Looking after children or incapacitated adults","29.6",""
"2007","European Union (27 countries)","Females","From 25 to 29 years","Percentage","In education or training","14.1",""
"2007","European Union (27 countries)","Females","From 25 to 29 years","Percentage","Other","14.4",""
"2007","European Union (15 countries)","Total","From 15 to 19 years","Percentage","Could not find a full-time job","11.3",""
"2007","European Union (15 countries)","Total","From 15 to 19 years","Percentage","Own illness or disability",":","u"
"2007","European Union (15 countries)","Total","From 15 to 19 years","Percentage","Other family or personal responsabilities","1.5",""
"2007","European Union (15 countries)","Total","From 15 to 19 years","Percentage","Looking after children or incapacitated adults","0.5","u"
"2007","European Union (15 countries)","Total","From 15 to 19 years","Percentage","In education or training","79.5",""
"2007","European Union (15 countries)","Total","From 15 to 19 years","Percentage","Other","7.1",""
"2007","European Union (15 countries)","Total","From 15 to 24 years","Percentage","Could not find a full-time job","22.7",""
"2007","European Union (15 countries)","Total","From 15 to 24 years","Percentage","Own illness or disability","0.6",""
"2007","European Union (15 countries)","Total","From 15 to 24 years","Percentage","Other family or personal responsabilities","2.4",""
"2007","European Union (15 countries)","Total","From 15 to 24 years","Percentage","Looking after children or incapacitated adults","2.9",""
"2007","European Union (15 countries)","Total","From 15 to 24 years","Percentage","In education or training","60.2",""
"2007","European Union (15 countries)","Total","From 15 to 24 years","Percentage","Other","11.2",""
"2007","European Union (15 countries)","Total","From 15 to 29 years","Percentage","Could not find a full-time job","26.3",""
"2007","European Union (15 countries)","Total","From 15 to 29 years","Percentage","Own illness or disability","1.0",""
"2007","European Union (15 countries)","Total","From 15 to 29 years","Percentage","Other family or personal responsabilities","4.2",""
"2007","European Union (15 countries)","Total","From 15 to 29 years","Percentage","Looking after children or incapacitated adults","10.0",""
"2007","European Union (15 countries)","Total","From 15 to 29 years","Percentage","In education or training","46.1",""
"2007","European Union (15 countries)","Total","From 15 to 29 years","Percentage","Other","12.4",""
"2007","European Union (15 countries)","Total","From 20 to 24 years","Percentage","Could not find a full-time job","31.2",""
"2007","European Union (15 countries)","Total","From 20 to 24 years","Percentage","Own illness or disability","1.0",""
"2007","European Union (15 countries)","Total","From 20 to 24 years","Percentage","Other family or personal responsabilities","3.1",""
"2007","European Union (15 countries)","Total","From 20 to 24 years","Percentage","Looking after children or incapacitated adults","4.6",""
"2007","European Union (15 countries)","Total","From 20 to 24 years","Percentage","In education or training","45.9",""
"2007","European Union (15 countries)","Total","From 20 to 24 years","Percentage","Other","14.2",""
"2007","European Union (15 countries)","Total","From 20 to 29 years","Percentage","Could not find a full-time job","31.9",""
"2007","European Union (15 countries)","Total","From 20 to 29 years","Percentage","Own illness or disability","1.3",""
"2007","European Union (15 countries)","Total","From 20 to 29 years","Percentage","Other family or personal responsabilities","5.2",""
"2007","European Union (15 countries)","Total","From 20 to 29 years","Percentage","Looking after children or incapacitated adults","13.5",""
"2007","European Union (15 countries)","Total","From 20 to 29 years","Percentage","In education or training","33.7",""
"2007","European Union (15 countries)","Total","From 20 to 29 years","Percentage","Other","14.3",""
"2007","European Union (15 countries)","Total","From 25 to 29 years","Percentage","Could not find a full-time job","32.6",""
"2007","European Union (15 countries)","Total","From 25 to 29 years","Percentage","Own illness or disability","1.7",""
"2007","European Union (15 countries)","Total","From 25 to 29 years","Percentage","Other family or personal responsabilities","7.4",""
"2007","European Union (15 countries)","Total","From 25 to 29 years","Percentage","Looking after children or incapacitated adults","22.6",""
"2007","European Union (15 countries)","Total","From 25 to 29 years","Percentage","In education or training","21.2",""
"2007","European Union (15 countries)","Total","From 25 to 29 years","Percentage","Other","14.5",""
"2007","European Union (15 countries)","Males","From 15 to 19 years","Percentage","Could not find a full-time job","9.5",""
"2007","European Union (15 countries)","Males","From 15 to 19 years","Percentage","Own illness or disability",":","u"
"2007","European Union (15 countries)","Males","From 15 to 19 years","Percentage","Other family or personal responsabilities","1.5","u"
"2007","European Union (15 countries)","Males","From 15 to 19 years","Percentage","Looking after children or incapacitated adults",":","c"
"2007","European Union (15 countries)","Males","From 15 to 19 years","Percentage","In education or training","81.5",""
"2007","European Union (15 countries)","Males","From 15 to 19 years","Percentage","Other","7.3",""
"2007","European Union (15 countries)","Males","From 15 to 24 years","Percentage","Could not find a full-time job","19.5",""
"2007","European Union (15 countries)","Males","From 15 to 24 years","Percentage","Own illness or disability","0.9",""
"2007","European Union (15 countries)","Males","From 15 to 24 years","Percentage","Other family or personal responsabilities","1.8",""
"2007","European Union (15 countries)","Males","From 15 to 24 years","Percentage","Looking after children or incapacitated adults",":","u"
"2007","European Union (15 countries)","Males","From 15 to 24 years","Percentage","In education or training","67.6",""
"2007","European Union (15 countries)","Males","From 15 to 24 years","Percentage","Other","10.1",""
"2007","European Union (15 countries)","Males","From 15 to 29 years","Percentage","Could not find a full-time job","24.1",""
"2007","European Union (15 countries)","Males","From 15 to 29 years","Percentage","Own illness or disability","1.4",""
"2007","European Union (15 countries)","Males","From 15 to 29 years","Percentage","Other family or personal responsabilities","2.4",""
"2007","European Union (15 countries)","Males","From 15 to 29 years","Percentage","Looking after children or incapacitated adults","0.5","u"
"2007","European Union (15 countries)","Males","From 15 to 29 years","Percentage","In education or training","59.3",""
"2007","European Union (15 countries)","Males","From 15 to 29 years","Percentage","Other","12.3",""
"2007","European Union (15 countries)","Males","From 20 to 24 years","Percentage","Could not find a full-time job","28.8",""
"2007","European Union (15 countries)","Males","From 20 to 24 years","Percentage","Own illness or disability","1.6",""
"2007","European Union (15 countries)","Males","From 20 to 24 years","Percentage","Other family or personal responsabilities","2.1",""
"2007","European Union (15 countries)","Males","From 20 to 24 years","Percentage","Looking after children or incapacitated adults",":","u"
"2007","European Union (15 countries)","Males","From 20 to 24 years","Percentage","In education or training","54.6",""
"2007","European Union (15 countries)","Males","From 20 to 24 years","Percentage","Other","12.7",""
"2007","European Union (15 countries)","Males","From 20 to 29 years","Percentage","Could not find a full-time job","31.8",""
"2007","European Union (15 countries)","Males","From 20 to 29 years","Percentage","Own illness or disability","2.0",""
"2007","European Union (15 countries)","Males","From 20 to 29 years","Percentage","Other family or personal responsabilities","2.8",""
"2007","European Union (15 countries)","Males","From 20 to 29 years","Percentage","Looking after children or incapacitated adults","0.8","u"
"2007","European Union (15 countries)","Males","From 20 to 29 years","Percentage","In education or training","47.5",""
"2007","European Union (15 countries)","Males","From 20 to 29 years","Percentage","Other","15.0",""
"2007","European Union (15 countries)","Males","From 25 to 29 years","Percentage","Could not find a full-time job","35.7",""
"2007","European Union (15 countries)","Males","From 25 to 29 years","Percentage","Own illness or disability","2.6",""
"2007","European Union (15 countries)","Males","From 25 to 29 years","Percentage","Other family or personal responsabilities","3.8",""
"2007","European Union (15 countries)","Males","From 25 to 29 years","Percentage","Looking after children or incapacitated adults","1.5","u"
"2007","European Union (15 countries)","Males","From 25 to 29 years","Percentage","In education or training","38.4",""
"2007","European Union (15 countries)","Males","From 25 to 29 years","Percentage","Other","18.0",""
"2007","European Union (15 countries)","Females","From 15 to 19 years","Percentage","Could not find a full-time job","12.6",""
"2007","European Union (15 countries)","Females","From 15 to 19 years","Percentage","Own illness or disability",":","u"
"2007","European Union (15 countries)","Females","From 15 to 19 years","Percentage","Other family or personal responsabilities","1.4",""
"2007","European Union (15 countries)","Females","From 15 to 19 years","Percentage","Looking after children or incapacitated adults","0.8","u"
"2007","European Union (15 countries)","Females","From 15 to 19 years","Percentage","In education or training","77.9",""
"2007","European Union (15 countries)","Females","From 15 to 19 years","Percentage","Other","7.0",""
"2007","European Union (15 countries)","Females","From 15 to 24 years","Percentage","Could not find a full-time job","24.8",""
"2007","European Union (15 countries)","Females","From 15 to 24 years","Percentage","Own illness or disability","0.5",""
"2007","European Union (15 countries)","Females","From 15 to 24 years","Percentage","Other family or personal responsabilities","2.7",""
